"Kind"	"Name"	"DataAsset"	"ChosenTextureName"	"ChosenTextureAsset"	"PNG"	"SourcePNG"	"Size"	"Format"
"Building"	"Barrel Big"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Big.uasset"	"Barrel Big"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Big.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Barrel Big.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Barrel_Big.png"	"512x512"	"PF_DXT5"
"Building"	"Barrel Mega"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Mega.uasset"	"Barrel Mega"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Mega.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Barrel Mega.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Barrel_Mega.png"	"512x512"	"PF_DXT5"
"Building"	"Barrel Small"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Small.uasset"	"Barrel Small"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Barrel_Small.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Barrel Small.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Barrel_Small.png"	"512x512"	"PF_DXT5"
"Building"	"Boss"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Boss.uasset"	"Boss"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Boss.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Boss.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Boss.png"	"512x512"	"PF_DXT5"
"Building"	"Boss Input"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BossInput.uasset"	"Boss Input"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BossInput.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Boss Input.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_BossInput.png"	"512x512"	"PF_DXT5"
"Building"	"Buffer Gate"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BufferGate.uasset"	"Buffer Gate"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BufferGate.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Buffer Gate.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_BufferGate.png"	"512x512"	"PF_DXT5"
"Building"	"Buildable Ladder"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BuildableLadder.uasset"	"Buildable Ladder"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_BuildableLadder.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Buildable Ladder.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_BuildableLadder.png"	"512x512"	"PF_DXT5"
"Building"	"Butcher"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Butcher.uasset"	"Butcher"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Butcher.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Butcher.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Butcher.png"	"512x512"	"PF_DXT5"
"Building"	"Cannon"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Cannon.uasset"	"Cannon"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Cannon.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cannon.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Cannon.png"	"512x512"	"PF_DXT5"
"Building"	"Canteen"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_Canteen.uasset"	"Canteen"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_Canteen.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Canteen.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Canteen.png"	"512x512"	"PF_DXT1"
"Building"	"Capacity Sensor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CapacitySensor.uasset"	"Capacity Sensor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CapacitySensor.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Capacity Sensor.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_CapacitySensor.png"	"512x512"	"PF_DXT5"
"Building"	"Cart Station"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CartStation.uasset"	"Cart Station"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CartStation.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cart Station.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_CartStation.png"	"512x512"	"PF_DXT5"
"Building"	"Cart Track"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CartTrack.uasset"	"Cart Track"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_CartTrack.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cart Track.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_CartTrack.png"	"512x512"	"PF_DXT5"
"Building"	"Chest"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_Chest.uasset"	"Chest"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_Chest.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Chest.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Chest.png"	"512x512"	"PF_DXT1"
"Building"	"Clay Digger"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayDigger.uasset"	"Clay Digger"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayDigger.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Clay Digger.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ClayDigger.png"	"512x512"	"PF_DXT1"
"Building"	"Clay Minion Assembler"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayMinionAssembler.uasset"	"Clay Minion Assembler"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayMinionAssembler.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Clay Minion Assembler.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ClayMinionAssembler.png"	"512x512"	"PF_DXT1"
"Building"	"Clay Workshop"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayWorkshop.uasset"	"Clay Workshop"	"Loc/Content/Loc/GeneratedContent/BuildingIcons/T_Gen_ClayWorkshop.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Clay Workshop.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ClayWorkshop.png"	"512x512"	"PF_DXT1"
"Building"	"Cold Set Arch 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Arch_01.uasset"	"Cold Set Arch 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Arch_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Arch 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Arch_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Arch 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Arch_02.uasset"	"Cold Set Arch 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Arch_02.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Arch 02.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Arch_02.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Bench 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Bench_01.uasset"	"Cold Set Bench 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Bench_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Bench 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Bench_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Fence 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Fence_01.uasset"	"Cold Set Fence 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Fence_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Fence 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Fence_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Fence 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Fence_02.uasset"	"Cold Set Fence 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Fence_02.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Fence 02.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Fence_02.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Lantern 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Lantern_01.uasset"	"Cold Set Lantern 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Lantern_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Lantern 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Lantern_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pedestal 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pedestal_01.uasset"	"Cold Set Pedestal 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pedestal_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pedestal 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pedestal_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pedestal 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pedestal_02.uasset"	"Cold Set Pedestal 02"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pedestal_02.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pedestal 02.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pedestal_02.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pillar 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pillar_01.uasset"	"Cold Set Pillar 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pillar_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pillar 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pillar_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pot 1x1 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_1x1_01.uasset"	"Cold Set Pot 1x1 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_1x1_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pot 1x1 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pot_1x1_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pot 1x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_1x2_01.uasset"	"Cold Set Pot 1x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_1x2_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pot 1x2 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pot_1x2_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Pot 2x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_2x2_01.uasset"	"Cold Set Pot 2x2 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_Pot_2x2_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Pot 2x2 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_Pot_2x2_01.png"	"512x512"	"PF_DXT5"
"Building"	"Cold Set Unique Item 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_UniqueItem_01.uasset"	"Cold Set Unique Item 01"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ColdSet_UniqueItem_01.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Cold Set Unique Item 01.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ColdSet_UniqueItem_01.png"	"512x512"	"PF_DXT5"
"Building"	"Compressor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Compressor.uasset"	"Compressor"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_Compressor.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Compressor.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_Compressor.png"	"512x512"	"PF_DXT5"
"Building"	"Constructable Ancient Foundation 2x2"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ConstructableAncientFoundation_2x2.uasset"	"Constructable Ancient Foundation 2x2"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ConstructableAncientFoundation_2x2.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Constructable Ancient Foundation 2x2.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ConstructableAncientFoundation_2x2.png"	"512x512"	"PF_DXT5"
"Building"	"Constructable Ancient Foundation 2x3"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ConstructableAncientFoundation_2x3.uasset"	"Constructable Ancient Foundation 2x3"	"Loc/Content/Loc/UI/Buildmenu/BuildingIcons/T_Gen_ConstructableAncientFoundation_2x3.uasset"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites_selected\buildings\Constructable Ancient Foundation 2x3.png"	"F:\Steam\steamapps\common\Oddsparks\oddsparks_sprites\buildings\T_Gen_ConstructableAncientFoundation_2x3.png"	"512x512"	"PF_DXT5"
